grant_name,organization,category,eligibility,funding_amount,description
STEM Excellence Grant,Bright Future Foundation,Education,Nonprofit,50000,Supports STEM education initiatives for underserved students.
Digital Learning Initiative,Future Education Trust,Education,Educational Institution,75000,Funds digital classrooms and e-learning resources.
School Innovation Fund,Education First Alliance,Education,Nonprofit,100000,Supports innovative teaching methods and curriculum development.
Literacy Growth Grant,National Literacy Fund,Education,Community Organization,30000,Improves literacy programs for children and adults.
Higher Education Success Grant,Academic Success Foundation,Education,Educational Institution,150000,Supports scholarships and higher education access.
Tech Access Program,TechBridge Foundation,Technology,Nonprofit,80000,Expands access to technology and digital skills training.
AI Innovation Grant,Digital Future Network,Technology,Startup,200000,Supports AI-driven social impact projects.
Cyber Safety Initiative,CyberSecure Trust,Technology,Educational Institution,60000,Funds cybersecurity awareness and training.
Smart Community Grant,Innovation Alliance,Technology,Community Organization,120000,Supports smart city and digital infrastructure projects.
Digital Inclusion Fund,Connected Communities Foundation,Technology,Nonprofit,90000,Provides internet access and digital literacy programs.
Healthy Communities Grant,HealthFirst Trust,Healthcare,Nonprofit,100000,Improves access to community healthcare services.
Mental Wellness Program,MindCare Foundation,Healthcare,NGO,70000,Supports mental health awareness and counseling initiatives.
Mobile Clinic Grant,Global Health Alliance,Healthcare,Nonprofit,150000,Funds mobile healthcare clinics in underserved areas.
Preventive Care Initiative,Wellness for All Foundation,Healthcare,Community Organization,50000,Encourages preventive healthcare and screenings.
Medical Equipment Fund,Healthcare Innovation Trust,Healthcare,Hospital,250000,Provides funding for essential medical equipment.
Clean Rivers Initiative,Green Earth Initiative,Environment,Nonprofit,85000,Supports river cleanup and water conservation projects.
Urban Forest Grant,Tree Life Foundation,Environment,Community Organization,65000,Funds urban tree planting and green space development.
Climate Action Fund,Climate Action Network,Climate Change,NGO,200000,Supports projects reducing greenhouse gas emissions.
Renewable Energy Grant,Green Energy Trust,Climate Change,Nonprofit,180000,Funds renewable energy adoption in communities.
Disaster Recovery Fund,Emergency Relief Coalition,Disaster Relief,Nonprofit,250000,Provides emergency assistance and disaster recovery support.